timestamp, index, uuid, name, utilization.gpu [%], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W]
2026/07/28 12:19:12.801, 0, GPU-bc33bc29-cd08-501e-e505-7510b19fb48c, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40443 MiB, 43, 51.80 W
2026/07/28 12:19:12.805, 1, GPU-f9521efc-6855-d1f6-a2fa-f8c6a95cfff7, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40443 MiB, 43, 51.86 W
2026/07/28 12:19:17.808, 0, GPU-bc33bc29-cd08-501e-e505-7510b19fb48c, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40443 MiB, 43, 51.80 W
2026/07/28 12:19:17.809, 1, GPU-f9521efc-6855-d1f6-a2fa-f8c6a95cfff7, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40443 MiB, 43, 51.86 W
2026/07/28 12:19:22.809, 0, GPU-bc33bc29-cd08-501e-e505-7510b19fb48c, NVIDIA A100-SXM4-40GB, 0 %, 543 MiB, 39901 MiB, 43, 56.88 W
2026/07/28 12:19:22.809, 1, GPU-f9521efc-6855-d1f6-a2fa-f8c6a95cfff7, NVIDIA A100-SXM4-40GB, 0 %, 543 MiB, 39901 MiB, 43, 57.23 W
2026/07/28 12:19:27.810, 0, GPU-bc33bc29-cd08-501e-e505-7510b19fb48c, NVIDIA A100-SXM4-40GB, 0 %, 527 MiB, 39917 MiB, 43, 56.88 W
2026/07/28 12:19:27.810, 1, GPU-f9521efc-6855-d1f6-a2fa-f8c6a95cfff7, NVIDIA A100-SXM4-40GB, 0 %, 527 MiB, 39917 MiB, 43, 57.23 W
2026/07/28 12:19:32.810, 0, GPU-bc33bc29-cd08-501e-e505-7510b19fb48c, NVIDIA A100-SXM4-40GB, 0 %, 525 MiB, 39919 MiB, 46, 73.97 W
2026/07/28 12:19:32.811, 1, GPU-f9521efc-6855-d1f6-a2fa-f8c6a95cfff7, NVIDIA A100-SXM4-40GB, 0 %, 525 MiB, 39919 MiB, 46, 73.82 W
